category,filename,LL_Mean,LL_StdDev,LL_Variance,LL_Energy,LL_Entropy,LL_Skewness,LL_Kurtosis,LL_Min,LL_Max,LL_Range,LH_Mean,LH_StdDev,LH_Variance,LH_Energy,LH_Entropy,LH_Skewness,LH_Kurtosis,LH_Min,LH_Max,LH_Range,HL_Mean,HL_StdDev,HL_Variance,HL_Energy,HL_Entropy,HL_Skewness,HL_Kurtosis,HL_Min,HL_Max,HL_Range,HH_Mean,HH_StdDev,HH_Variance,HH_Energy,HH_Entropy,HH_Skewness,HH_Kurtosis,HH_Min,HH_Max,HH_Range
styrofoam,20-scale_1_im_1_grey.png,1.037909295,0.080033698,0.006405393,4438.675852,7.666178021,3.375215097,21.41870189,0.837254902,1.852941176,1.015686275,0.000524184,0.023830118,0.000567875,2.327139562,7.346342759,1.619625656,32.47354254,-0.258823529,0.356862745,0.615686275,-2.06E-05,0.023569122,0.000555504,2.275344098,6.929981833,1.652022259,32.99899792,-0.235294118,0.323529412,0.558823529,-8.38E-05,0.009809163,9.62E-05,0.39414456,6.793647885,-0.267242314,25.86251904,-0.125490196,0.103921569,0.229411765
styrofoam,20-scale_1_im_2_grey.png,0.995699774,0.069242421,0.004794513,4080.486617,7.70439548,3.125488268,26.26118837,0.796078431,1.884313725,1.088235294,9.72E-05,0.019535495,0.000381636,1.563217993,7.132655243,1.776403718,44.86885007,-0.22745098,0.3,0.52745098,0.000193876,0.019647654,0.00038603,1.581334102,7.040048763,0.075918755,13.7911714,-0.180392157,0.188235294,0.368627451,-2.35E-05,0.008592448,7.38E-05,0.302410611,6.661040811,0.123614296,16.26653613,-0.078431373,0.088235294,0.166666667
styrofoam,20-scale_1_im_3_grey.png,1.01752068,0.109659269,0.012025155,4290.041815,8.486477137,0.785494873,3.128875411,0.635294118,1.798039216,1.162745098,-0.000104358,0.036191409,0.001309818,5.365059592,8.400472867,0.430417751,5.171933923,-0.239215686,0.368627451,0.607843137,0.000113932,0.033797186,0.00114225,4.678708189,7.982923709,0.33684938,5.650468622,-0.276470588,0.28627451,0.562745098,-1.53E-05,0.015288075,0.000233725,0.957339485,7.898665094,-0.166732081,3.423748604,-0.147058824,0.078431373,0.225490196
styrofoam,20-scale_1_im_4_grey.png,0.929952225,0.069796184,0.004871507,3562.220127,7.831638901,2.487929733,19.22421052,0.635294118,1.850980392,1.215686275,-3.40E-05,0.043045744,0.001852936,7.589630911,8.530355902,0.228837017,6.037473308,-0.319607843,0.398039216,0.717647059,-0.000223556,0.039535947,0.001563091,6.402625913,7.986015369,-0.648288245,13.05434442,-0.431372549,0.325490196,0.756862745,2.35E-05,0.027444866,0.000753221,3.085194156,8.256722994,0.227879013,3.933748959,-0.160784314,0.18627451,0.347058824
styrofoam,20-scale_1_im_5_grey.png,0.860957606,0.089893695,0.008080876,3069.251073,8.27714609,1.530094821,7.858961369,0.482352941,1.666666667,1.184313725,0.000645297,0.063198207,0.003994013,16.36118416,9.420053147,-0.230852714,4.751530871,-0.384313725,0.429411765,0.81372549,0.000347541,0.056767513,0.00322255,13.20006151,8.528882959,-0.411371233,2.983771718,-0.429411765,0.270588235,0.7,-0.000245098,0.041324058,0.001707678,6.994894271,9.226928359,-0.007765436,2.16845124,-0.211764706,0.247058824,0.458823529
styrofoam,20-scale_1_im_6_grey.png,1.001576383,0.108468818,0.011765485,4157.115329,8.597997519,0.542050882,1.798362902,0.554901961,1.817647059,1.262745098,0.000609394,0.084459379,0.007133387,29.21987313,9.744815878,-0.066823239,0.652209305,-0.358823529,0.374509804,0.733333333,0.000553864,0.067272004,0.004525523,18.537797,8.982068113,-0.306019429,1.372490965,-0.380392157,0.268627451,0.649019608,-0.000101007,0.051154695,0.002616803,10.71846597,9.51360274,0.124736301,1.03277693,-0.190196078,0.256862745,0.447058824
styrofoam,20-scale_1_im_7_grey.png,1.105078125,0.079553908,0.006328824,5027.948489,7.71336522,2.173120668,9.67064384,0.833333333,1.774509804,0.941176471,0.000202014,0.021861662,0.000477932,1.957777778,7.598270132,1.230391169,11.56499818,-0.156862745,0.237254902,0.394117647,-6.89E-05,0.022746484,0.000517403,2.119300269,6.806122524,0.27680785,9.407586796,-0.156862745,0.182352941,0.339215686,-9.29E-05,0.009313162,8.67E-05,0.355301807,7.02933971,-0.16058869,6.522742304,-0.082352941,0.07254902,0.154901961
styrofoam,20-scale_1_im_8_grey.png,1.014687213,0.072465635,0.005251268,4238.710408,7.622756954,3.09384598,18.38546837,0.849019608,1.798039216,0.949019608,0.000112496,0.01869745,0.000349595,1.431991542,7.096410703,2.026931776,24.49694289,-0.121568627,0.284313725,0.405882353,0.000394933,0.021821616,0.000476183,1.951084198,7.055340019,0.723358954,18.83334355,-0.160784314,0.303921569,0.464705882,-0.000123028,0.008732041,7.62E-05,0.312376009,6.648400809,0.170414274,8.831310059,-0.062745098,0.074509804,0.137254902
styrofoam,20-scale_1_im_9_grey.png,1.058445351,0.131782496,0.017366626,4659.909373,8.599164432,1.59968246,5.812196924,0.71372549,1.921568627,1.207843137,9.57E-06,0.037545977,0.0014097,5.774133026,8.424208452,0.920346398,7.973205675,-0.235294118,0.358823529,0.594117647,0.000126379,0.037982227,0.00144265,5.909158016,8.033997952,0.41026915,7.393109111,-0.274509804,0.288235294,0.562745098,-9.48E-05,0.016213634,0.000262882,1.07680123,7.860627307,0.468501249,6.397300652,-0.098039216,0.160784314,0.258823529
styrofoam,20-scale_2_im_1_grey.png,1.126206342,0.084895328,0.007207217,5224.644368,7.91847042,1.594562588,7.698745074,0.880392157,1.792156863,0.911764706,-0.000359988,0.055913535,0.003126323,12.80595156,9.242272909,0.218533171,4.314270544,-0.325490196,0.407843137,0.733333333,1.15E-05,0.055029421,0.003028237,12.40366013,8.229383169,0.115718732,3.516482437,-0.331372549,0.323529412,0.654901961,-0.000417433,0.040830558,0.001667134,6.829296424,9.087168088,0.074908984,2.83042891,-0.223529412,0.225490196,0.449019608
