category,filename,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_Entropy,GLCM_Mean,GLCM_Std_Dev,GLCM_Variance,DWT_DWT_LL_Mean,DWT_DWT_LL_Std_Dev,DWT_DWT_LL_Variance,DWT_DWT_LL_Energy,DWT_DWT_LL_Entropy,DWT_DWT_LL_Contrast,DWT_DWT_LL_Homogeneity,DWT_DWT_LH_Mean,DWT_DWT_LH_Std_Dev,DWT_DWT_LH_Variance,DWT_DWT_LH_Energy,DWT_DWT_LH_Entropy,DWT_DWT_LH_Contrast,DWT_DWT_LH_Homogeneity,DWT_DWT_HL_Mean,DWT_DWT_HL_Std_Dev,DWT_DWT_HL_Variance,DWT_DWT_HL_Energy,DWT_DWT_HL_Entropy,DWT_DWT_HL_Contrast,DWT_DWT_HL_Homogeneity,DWT_DWT_HH_Mean,DWT_DWT_HH_Std_Dev,DWT_DWT_HH_Variance,DWT_DWT_HH_Energy,DWT_DWT_HH_Entropy,DWT_DWT_HH_Contrast,DWT_DWT_HH_Homogeneity,SWT_SWT_LL_Mean,SWT_SWT_LL_Std_Dev,SWT_SWT_LL_Variance,SWT_SWT_LL_Energy,SWT_SWT_LL_Entropy,SWT_SWT_LL_Contrast,SWT_SWT_LL_Homogeneity,SWT_SWT_LH_Mean,SWT_SWT_LH_Std_Dev,SWT_SWT_LH_Variance,SWT_SWT_LH_Energy,SWT_SWT_LH_Entropy,SWT_SWT_LH_Contrast,SWT_SWT_LH_Homogeneity,SWT_SWT_HL_Mean,SWT_SWT_HL_Std_Dev,SWT_SWT_HL_Variance,SWT_SWT_HL_Energy,SWT_SWT_HL_Entropy,SWT_SWT_HL_Contrast,SWT_SWT_HL_Homogeneity,SWT_SWT_HH_Mean,SWT_SWT_HH_Std_Dev,SWT_SWT_HH_Variance,SWT_SWT_HH_Energy,SWT_SWT_HH_Entropy,SWT_SWT_HH_Contrast,SWT_SWT_HH_Homogeneity
styrofoam,20-scale_1_im_1_grey.png,39.68119303,0.282007367,0.138111767,0.682940879,5.647208547,132.3334351,11.13365798,123.9583401,1.037909295,0.080033698,0.006405393,4438.675852,7.666178021,0.080033698,0.993635375,0.000524184,0.023830118,0.000567875,2.327139562,7.346342759,0.023830118,0.999432448,-2.06E-05,0.023569122,0.000555504,2.275344098,6.929981833,0.023569122,0.999444805,-8.38E-05,0.009809163,9.62E-05,0.39414456,6.793647885,0.009809163,0.99990379,1.037909295,0.080048137,0.006407704,17754.74128,7.766238054,0.080048137,0.993633093,1.08E-19,0.024522486,0.000601352,9.852556709,7.453113248,0.024522486,0.999399009,6.78E-21,0.022902419,0.000524521,8.593748558,7.002198084,0.022902419,0.999475754,8.15E-21,0.009575772,9.17E-05,1.502337562,6.900246686,0.009575772,0.999908313
styrofoam,20-scale_1_im_2_grey.png,31.23524984,0.250186974,0.132696277,0.637281955,5.725368815,126.9517212,9.571893401,91.62114328,0.995699774,0.069242421,0.004794513,4080.486617,7.70439548,0.069242421,0.995228365,9.72E-05,0.019535495,0.000381636,1.563217993,7.132655243,0.019535495,0.99961851,0.000193876,0.019647654,0.00038603,1.581334102,7.040048763,0.019647654,0.999614119,-2.35E-05,0.008592448,7.38E-05,0.302410611,6.661040811,0.008592448,0.999926175,0.995699774,0.068788434,0.004731849,16320.91978,7.797980503,0.068788434,0.995290436,1.19E-20,0.019475694,0.000379303,6.214494425,7.230766926,0.019475694,0.999620841,0,0.021214336,0.000450048,7.373587082,7.130952313,0.021214336,0.999550154,8.79E-21,0.008652001,7.49E-05,1.226459054,6.763866255,0.008652001,0.999925148
styrofoam,20-scale_1_im_3_grey.png,85.40450033,0.136655023,0.114589314,0.680077342,6.034439129,129.7338867,15.46432178,239.1452482,1.01752068,0.109659269,0.012025155,4290.041815,8.486477137,0.109659269,0.988117731,-0.000104358,0.036191409,0.001309818,5.365059592,8.400472867,0.036191409,0.998691895,0.000113932,0.033797186,0.00114225,4.678708189,7.982923709,0.033797186,0.998859053,-1.53E-05,0.015288075,0.000233725,0.957339485,7.898665094,0.015288075,0.999766329,1.01752068,0.109301671,0.011946855,17158.88439,8.615724531,0.109301671,0.988194187,4.07E-20,0.036733449,0.001349346,22.10768935,8.587211158,0.036733449,0.998652472,-3.39E-21,0.03425454,0.001173374,19.2245521,8.099498407,0.03425454,0.998828002,2.56E-20,0.01553697,0.000241397,3.955055748,8.016579786,0.01553697,0.999758661
styrofoam,20-scale_1_im_4_grey.png,146.8264669,0.124078813,0.116140463,0.373494901,6.005552581,118.5689087,12.12310261,146.9696168,0.929952225,0.069796184,0.004871507,3562.220127,7.831638901,0.069796184,0.995152109,-3.40E-05,0.043045744,0.001852936,7.589630911,8.530355902,0.043045744,0.998150491,-0.000223556,0.039535947,0.001563091,6.402625913,7.986015369,0.039535947,0.998439348,2.35E-05,0.027444866,0.000753221,3.085194156,8.256722994,0.027444866,0.999247346,0.929952225,0.068918853,0.004749808,14246.88659,7.926935251,0.068918853,0.995272646,5.42E-20,0.044591822,0.001988431,32.57844675,8.68312387,0.044591822,0.998015515,-2.37E-20,0.039028995,0.001523262,24.95713187,8.089772566,0.039028995,0.998479054,4.24E-21,0.027916046,0.000779306,12.76814302,8.431137539,0.027916046,0.999221301
styrofoam,20-scale_1_im_5_grey.png,316.7828267,0.082322238,0.11161326,0.298613846,6.087227044,109.7720947,16.62676029,276.4491578,0.860957606,0.089893695,0.008080876,3069.251073,8.27714609,0.089893695,0.991983901,0.000645297,0.063198207,0.003994013,16.36118416,9.420053147,0.063198207,0.996021875,0.000347541,0.056767513,0.00322255,13.20006151,8.528882959,0.056767513,0.996787801,-0.000245098,0.041324058,0.001707678,6.994894271,9.226928359,0.041324058,0.998295233,0.860957606,0.089738345,0.008052971,12276.54708,8.366965114,0.089738345,0.992011362,4.07E-20,0.061690941,0.003805772,62.35377163,9.682072298,0.061690941,0.996208657,-5.42E-20,0.058195819,0.003386753,55.48856594,8.701305198,0.058195819,0.996624678,-7.88E-20,0.041954966,0.001760219,28.83943099,9.491385495,0.041954966,0.998242874
styrofoam,20-scale_1_im_6_grey.png,444.8064779,0.058989143,0.109045564,0.393829433,6.132841829,127.7009888,20.57531027,423.3433926,1.001576383,0.108468818,0.011765485,4157.115329,8.597997519,0.108468818,0.988371332,0.000609394,0.084459379,0.007133387,29.21987313,9.744815878,0.084459379,0.992917138,0.000553864,0.067272004,0.004525523,18.537797,8.982068113,0.067272004,0.995494866,-0.000101007,0.051154695,0.002616803,10.71846597,9.51360274,0.051154695,0.997390027,1.001576383,0.10845157,0.011761743,16628.40002,8.695050939,0.10845157,0.988374987,0,0.084365438,0.007117527,116.613564,10.0561162,0.084365438,0.992932774,-7.79E-20,0.066554421,0.004429491,72.5727797,9.140203209,0.066554421,0.995590043,7.20E-21,0.052279286,0.002733124,44.77950019,9.814782128,0.052279286,0.997274326
styrofoam,20-scale_1_im_7_grey.png,39.39828491,0.253382178,0.133107823,0.681152546,5.731987155,140.8974609,10.97607521,120.474227,1.105078125,0.079553908,0.006328824,5027.948489,7.71336522,0.079553908,0.993710978,0.000202014,0.021861662,0.000477932,1.957777778,7.598270132,0.021861662,0.999522296,-6.89E-05,0.022746484,0.000517403,2.119300269,6.806122524,0.022746484,0.999482865,-9.29E-05,0.009313162,8.67E-05,0.355301807,7.02933971,0.009313162,0.999913273,1.105078125,0.079036621,0.006246787,20110.44987,7.778549439,0.079036621,0.993791993,-1.36E-20,0.023169008,0.000536803,8.794978854,7.727400846,0.023169008,0.999463485,0,0.023136291,0.000535288,8.770157632,6.87610896,0.023136291,0.999464998,1.85E-21,0.009595307,9.21E-05,1.508473664,7.131108258,0.009595307,0.999907939
styrofoam,20-scale_1_im_8_grey.png,35.86175537,0.271219046,0.139217946,0.633090215,5.634142634,129.3726196,10.00162388,100.0324803,1.014687213,0.072465635,0.005251268,4238.710408,7.622756954,0.072465635,0.994776163,0.000112496,0.01869745,0.000349595,1.431991542,7.096410703,0.01869745,0.999650528,0.000394933,0.021821616,0.000476183,1.951084198,7.055340019,0.021821616,0.999524044,-0.000123028,0.008732041,7.62E-05,0.312376009,6.648400809,0.008732041,0.999923757,1.014687213,0.071587951,0.005124835,16952.77014,7.698975967,0.071587951,0.994901295,2.71E-20,0.020041952,0.00040168,6.581122645,7.230073209,0.020041952,0.999598481,0,0.023286359,0.000542255,8.884298347,7.154178097,0.023286359,0.999458039,-9.21E-21,0.009203755,8.47E-05,1.387873895,6.769093492,0.009203755,0.999915298
styrofoam,20-scale_1_im_9_grey.png,109.6134745,0.133211575,0.115068031,0.681849121,6.027822981,134.9517822,18.24715355,332.9586125,1.058445351,0.131782496,0.017366626,4659.909373,8.599164432,0.131782496,0.982929825,9.57E-06,0.037545977,0.0014097,5.774133026,8.424208452,0.037545977,0.998592284,0.000126379,0.037982227,0.00144265,5.909158016,8.033997952,0.037982227,0.998559429,-9.48E-05,0.016213634,0.000262882,1.07680123,7.860627307,0.016213634,0.999737187,1.058445351,0.131366244,0.01725709,18637.84285,8.736017786,0.131366244,0.983035665,0,0.037752987,0.001425288,23.35191849,8.587608138,0.037752987,0.998576741,-2.37E-20,0.03907638,0.001526964,25.01777009,8.172213867,0.03907638,0.998475365,6.25E-21,0.016508833,0.000272542,4.46532103,8.026082909,0.016508833,0.999727533
styrofoam,20-scale_2_im_1_grey.png,296.365092,0.092558027,0.112942333,0.2158641,6.063298478,143.5913086,15.63069701,244.3186891,1.126206342,0.084895328,0.007207217,5224.644368,7.91847042,0.084895328,0.992844356,-0.000359988,0.055913535,0.003126323,12.80595156,9.242272909,0.055913535,0.99688342,1.15E-05,0.055029421,0.003028237,12.40366013,8.229383169,0.055029421,0.996980905,-0.000417433,0.040830558,0.001667134,6.829296424,9.087168088,0.040830558,0.99833564,1.126206342,0.084999808,0.007224967,20898.8683,8.023902429,0.084999808,0.992826858,8.13E-20,0.055504974,0.003080802,50.47586313,9.468699727,0.055504974,0.99692866,2.03E-20,0.056350541,0.003175383,52.02548251,8.386418265,0.056350541,0.996834668,-1.48E-21,0.039345429,0.001548063,25.36346021,9.29923401,0.039345429,0.99845433
