category,filename,LL_Mean,LL_Std_Dev,LL_Variance,LL_Energy,LL_Entropy,LL_Contrast,LL_Homogeneity,LH_Mean,LH_Std_Dev,LH_Variance,LH_Energy,LH_Entropy,LH_Contrast,LH_Homogeneity,HL_Mean,HL_Std_Dev,HL_Variance,HL_Energy,HL_Entropy,HL_Contrast,HL_Homogeneity,HH_Mean,HH_Std_Dev,HH_Variance,HH_Energy,HH_Entropy,HH_Contrast,HH_Homogeneity,LL_LH_Correlation,LL_HL_Correlation,LL_HH_Correlation,LH_HL_Correlation,LH_HH_Correlation,HL_HH_Correlation
styrofoam,20-scale_1_im_1_grey.png,1.037909295,0.080048137,0.006407704,17754.74128,7.766238054,0.080048137,0.993633093,1.08E-19,0.024522486,0.000601352,9.852556709,7.453113248,0.024522486,0.999399009,6.78E-21,0.022902419,0.000524521,8.593748558,7.002198084,0.022902419,0.999475754,8.15E-21,0.009575772,9.17E-05,1.502337562,6.900246686,0.009575772,0.999908313,1.63E-17,1.76E-18,-0.006779692,0.00925314,6.41E-19,-2.37E-17
styrofoam,20-scale_1_im_2_grey.png,0.995699774,0.068788434,0.004731849,16320.91978,7.797980503,0.068788434,0.995290436,1.19E-20,0.019475694,0.000379303,6.214494425,7.230766926,0.019475694,0.999620841,0,0.021214336,0.000450048,7.373587082,7.130952313,0.021214336,0.999550154,8.79E-21,0.008652001,7.49E-05,1.226459054,6.763866255,0.008652001,0.999925148,-2.66E-17,5.39E-18,-0.039583618,0.057019722,2.79E-18,-3.03E-17
styrofoam,20-scale_1_im_3_grey.png,1.01752068,0.109301671,0.011946855,17158.88439,8.615724531,0.109301671,0.988194187,4.07E-20,0.036733449,0.001349346,22.10768935,8.587211158,0.036733449,0.998652472,-3.39E-21,0.03425454,0.001173374,19.2245521,8.099498407,0.03425454,0.998828002,2.56E-20,0.01553697,0.000241397,3.955055748,8.016579786,0.01553697,0.999758661,2.00E-18,1.05E-18,-0.042354239,0.057162363,-2.82E-19,2.07E-17
styrofoam,20-scale_1_im_4_grey.png,0.929952225,0.068918853,0.004749808,14246.88659,7.926935251,0.068918853,0.995272646,5.42E-20,0.044591822,0.001988431,32.57844675,8.68312387,0.044591822,0.998015515,-2.37E-20,0.039028995,0.001523262,24.95713187,8.089772566,0.039028995,0.998479054,4.24E-21,0.027916046,0.000779306,12.76814302,8.431137539,0.027916046,0.999221301,1.10E-18,4.87E-18,0.010694444,-0.011822452,-1.27E-18,-3.06E-18
styrofoam,20-scale_1_im_5_grey.png,0.860957606,0.089738345,0.008052971,12276.54708,8.366965114,0.089738345,0.992011362,4.07E-20,0.061690941,0.003805772,62.35377163,9.682072298,0.061690941,0.996208657,-5.42E-20,0.058195819,0.003386753,55.48856594,8.701305198,0.058195819,0.996624678,-7.88E-20,0.041954966,0.001760219,28.83943099,9.491385495,0.041954966,0.998242874,8.38E-18,3.88E-18,-0.035883569,0.037630838,1.87E-19,-8.37E-18
styrofoam,20-scale_1_im_6_grey.png,1.001576383,0.10845157,0.011761743,16628.40002,8.695050939,0.10845157,0.988374987,0,0.084365438,0.007117527,116.613564,10.0561162,0.084365438,0.992932774,-7.79E-20,0.066554421,0.004429491,72.5727797,9.140203209,0.066554421,0.995590043,7.20E-21,0.052279286,0.002733124,44.77950019,9.814782128,0.052279286,0.997274326,-1.48E-18,-3.16E-18,0.062671994,-0.063284527,3.24E-19,5.23E-18
styrofoam,20-scale_1_im_7_grey.png,1.105078125,0.079036621,0.006246787,20110.44987,7.778549439,0.079036621,0.993791993,-1.36E-20,0.023169008,0.000536803,8.794978854,7.727400846,0.023169008,0.999463485,0,0.023136291,0.000535288,8.770157632,6.87610896,0.023136291,0.999464998,1.85E-21,0.009595307,9.21E-05,1.508473664,7.131108258,0.009595307,0.999907939,2.96E-17,-1.98E-17,-0.004818952,0.006817713,2.49E-18,3.80E-17
styrofoam,20-scale_1_im_8_grey.png,1.014687213,0.071587951,0.005124835,16952.77014,7.698975967,0.071587951,0.994901295,2.71E-20,0.020041952,0.00040168,6.581122645,7.230073209,0.020041952,0.999598481,0,0.023286359,0.000542255,8.884298347,7.154178097,0.023286359,0.999458039,-9.21E-21,0.009203755,8.47E-05,1.387873895,6.769093492,0.009203755,0.999915298,7.38E-18,-3.13E-18,-0.01083484,0.015296281,2.25E-18,-3.96E-17
styrofoam,20-scale_1_im_9_grey.png,1.058445351,0.131366244,0.01725709,18637.84285,8.736017786,0.131366244,0.983035665,0,0.037752987,0.001425288,23.35191849,8.587608138,0.037752987,0.998576741,-2.37E-20,0.03907638,0.001526964,25.01777009,8.172213867,0.03907638,0.998475365,6.25E-21,0.016508833,0.000272542,4.46532103,8.026082909,0.016508833,0.999727533,7.86E-18,3.79E-18,-0.038683677,0.056867254,-4.54E-20,6.57E-19
styrofoam,20-scale_2_im_1_grey.png,1.126206342,0.084999808,0.007224967,20898.8683,8.023902429,0.084999808,0.992826858,8.13E-20,0.055504974,0.003080802,50.47586313,9.468699727,0.055504974,0.99692866,2.03E-20,0.056350541,0.003175383,52.02548251,8.386418265,0.056350541,0.996834668,-1.48E-21,0.039345429,0.001548063,25.36346021,9.29923401,0.039345429,0.99845433,2.15E-18,1.52E-17,0.005165349,-0.005523088,9.07E-19,-4.97E-18
